DATE,INTERPOLATED,MA7_NUM_DAILY_SEVERE,MA7_NUM_DAILY_SEVERE_per_100kpop,MA7_NUM_SEVERE,MA7_NUM_SEVERE_per_100kpop,NUM_DAILY_SEVERE,NUM_DAILY_SEVERE_per_100kpop,NUM_SEVERE,NUM_SEVERE_per_100kpop,PROVINCE_NAME,PROVINCE_NAME_PSGC,REGION_NAME
2020-05-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-05-31,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
2020-06-01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leyte,PH083700000,8
